Type;Name;Version;purl;Supplier;Website;Source;Description;Licenses;Direct Dependency of;SHA-512 Hash;BomRef
library;atomic-sleep;1.0.0;pkg:npm/atomic-sleep@1.0.0;;https://www.npmjs.com/package/atomic-sleep;https://registry.npmjs.org/atomic-sleep/-/atomic-sleep-1.0.0.tgz;;MIT;;b965ee5e196f988676ecb1f6ca7ad741d360564dbe472e8808f3b7aab7046cb378bcf7af97a6a930e827d0c07a7adfb200279696a6740f585f7bd3f62b2ae845;06197858-0e2f-482b-be3f-592efb6a6b52
library;autoprefixer;10.4.21;pkg:npm/autoprefixer@10.4.21;;https://www.npmjs.com/package/autoprefixer;https://registry.npmjs.org/autoprefixer/-/autoprefixer-10.4.21.tgz;;MIT;;e8c34cb9ddca9ce0005611394f05afeee9fad1acbe0da7d1720580a227fb2e74fbab90c1bd804339e7c6c4defa70da9942d3b443f4f9a9ffb928f80364a0669d;2ec6c66b-471b-4d8a-b7f0-a330b9512978
library;axe-core;4.11.3;pkg:npm/axe-core@4.11.3;;https://www.npmjs.com/package/axe-core;https://registry.npmjs.org/axe-core/-/axe-core-4.11.3.tgz;;MPL-2.0;;ed0be6d78fdfb2b7186ce0a2b8de1ff596b40b23f034a762fbd3eaf0b6e5dc76f4409c82c35b7be058436eb7ee4a977b343ad59c5415ebb78623f9f931e77831;b7ee2b44-3b81-4e3f-b9c9-4bb4acb19192
library;@babel/code-frame;7.29.0;pkg:npm/%40babel/code-frame@7.29.0;@babel;https://www.npmjs.com/package/@babel/code-frame;https://registry.npmjs.org/@babel/code-frame/-/code-frame-7.29.0.tgz;;MIT;;efe55dbf37aa8427b661c22fb446a48453b71a638eb40c2be893f2ccebfbc0d8dc973acedec65eeb62e7cee3dd1e566c233557004d27832b753f324734e607e8;d9008928-3a2c-4da9-bfd3-8de1825c58aa
library;@babel/compat-data;7.29.0;pkg:npm/%40babel/compat-data@7.29.0;@babel;https://www.npmjs.com/package/@babel/compat-data;https://registry.npmjs.org/@babel/compat-data/-/compat-data-7.29.0.tgz;;MIT;;473da68926a62376e670862071e8594f05965b7d89143792c56647e6c9fb34f961113bf6cbbd836ae26bd7a5f1831160f232486dd234be29fcc45740d91a0b37;999eef97-bf7e-48c6-8e20-c7cfc02fa940
library;@babel/core;7.29.0;pkg:npm/%40babel/core@7.29.0;@babel;https://www.npmjs.com/package/@babel/core;https://registry.npmjs.org/@babel/core/-/core-7.29.0.tgz;;MIT;;e4c5a5c99bed5d82ac437d894ce15505550054d7cdb484cc872beca648661c0f4d7f4416c9070867800d7c3fa4ae5eb68f7c16611a4fef58f68613446a1854b0;b5f086d0-ec54-4951-977a-8ed7aaf8a7a3
library;@babel/generator;7.29.1;pkg:npm/%40babel/generator@7.29.1;@babel;https://www.npmjs.com/package/@babel/generator;https://registry.npmjs.org/@babel/generator/-/generator-7.29.1.tgz;;MIT;;3a7e3028ad32eebb986ef8fcae5bd1d2ccb8898964fa554933c2ce1c8ff5093f2d77c269b238fef988bea80f6b09556208a0c5fafbeb4b57d54b987f61c30a73;e6f93b61-1d7b-4326-ac6c-025cfc034f53
library;@babel/helper-annotate-as-pure;7.27.3;pkg:npm/%40babel/helper-annotate-as-pure@7.27.3;@babel;https://www.npmjs.com/package/@babel/helper-annotate-as-pure;https://registry.npmjs.org/@babel/helper-annotate-as-pure/-/helper-annotate-as-pure-7.27.3.tgz;;MIT;;b4a80a34de4eb0081da5917dad9235a15f4f0beaf9812c0cada793b694a515270b69f883132c5eb359b2f92c278a275897cb0e2f971cc88b0f4e87f3a895504d;93cfef71-b686-49ee-ad3e-6aa97d5b8e29
library;@babel/helper-compilation-targets;7.28.6;pkg:npm/%40babel/helper-compilation-targets@7.28.6;@babel;https://www.npmjs.com/package/@babel/helper-compilation-targets;https://registry.npmjs.org/@babel/helper-compilation-targets/-/helper-compilation-targets-7.28.6.tgz;;MIT;;e8070615829cd29741de6d4b14110a2b5187536a87bd90c5626cd18c7d68f36be1bc2dbbe8ea8131f31e0138caa5fc81d360a5d4c92a96405ca7400acc5ff4db;78689995-3679-40c6-b85e-de661d0e8e8a
library;@babel/helper-create-class-features-plugin;7.28.6;pkg:npm/%40babel/helper-create-class-features-plugin@7.28.6;@babel;https://www.npmjs.com/package/@babel/helper-create-class-features-plugin;https://registry.npmjs.org/@babel/helper-create-class-features-plugin/-/helper-create-class-features-plugin-7.28.6.tgz;;MIT;;7d607e94a42c23324b06b4cb57e33870f7b5d140f691d667627d2dc9db3f37bfa5453c5a1e35b2fccbfe063dbc1ec68ab1e6542dc1ee8096061e360566edcb2d;5822d881-3f19-462a-8992-655e3ebb9de4
